ENTREPRISE,CATEGORIE,equipment_id,installation_date,location,city,model,serial_number,type,voltage_rating,PRODUCT,NOTES,product_ref,image,title,description,downloadUrl,openUrl,endOfCommercializationDate,keyword,keyword_alt
EDF,Energie,SE-EDF-001,2019-03-15,Centrale Nucléaire de Gravelines,Gravelines,Masterpact MTZ2 16H1,MTZ2-GRV-2019-0847,Circuit Breaker,20kV,Masterpact MTZ2 16H1,MTZ2 variant,SE-PRODUCT-TCSESM083F2CU0,https://download.schneider-electric.com/files?p_Doc_Ref= PF101124&p_File_Type=rendition_200_png,Ethernet TCP/IP managed switch - ConneXium - 6TX/2FX - multimode,"This product is part of the ConneXium range, an offer of Ethernet connecting devices. This TCP/IP managed switch has two 100BASE-FX ports for fibre optic and six 10BASE-T/100BASE-TX ports for copper cable. It is a network switch with a supply voltage of 24V, a power consumption of 7.7W and maximum number of switches in a ring is 50. This product offers you a smart and flexible way to integrate Ethernet solutions into your operation. It is furnished with 6-way removable connector (power supply) for electrical connection. The supported transmission mediums are twisted shielded pair category 5E copper cable and multimode fibre optic. Ethernet services are secure port, Rapid Scanning Tree Protocol (RSTP), priority port, multicast filtering, data stream control, configuration via web server, VLAN, SNTP client, SMTP V3, IGMP snooping and FDR. It is an IP20 rated product. Its dimensions are 74mm (width) x 111mm (depth) x 131mm (height) and weighs 0.41kg. This product is certified by CE, GL and C-Tick. It meets UL 508, CSA C22.2 No 214, CSA C22.2 No 213 Class I Division 2, UL 1604 Class 1 Division 2 and EN/IEC 61131-2 standards. It supports 35mm symmetrical DIN rail mount.",https://download.schneider-electric.com/files?p_File_Name=TCSESM083F2CU0_DATASHEET_GB_en-GB.pdf&p_Reference=TCSESM083F2CU0_DATASHEET,https://www.se.com/uk/en/product/TCSESM083F2CU0/,2024-09-24T00:00:00Z,unlimited,ATG_MAIN
EDF,Energie,SE-EDF-002,2020-07-22,Centrale Thermique de Cordemais,Cordemais,PowerLogic ION9000,ION9K-COR-2020-1523,Power Meter,400V,PowerLogic ION9000,Meter series,SE-PRODUCT-A9MEM3255,https://download.schneider-electric.com/files?p_Doc_Ref= A9MEM3255_IOP_Def&p_File_Type=rendition_200_png,iEM3255 energy meter - CT - Modbus - 1 digital I - 1 digital O - multi-tariff - MID,"The Acti9 iEM3000 series energy meters offer an attractive range of three-phase DIN rail-mounted energy meters with an LCD display. Additional local signaling includes green LED power-on indicator, flashing yellow LED for accuracy checking, an overload alarm and communication indicators. This meter can be used in sub-billing applications and supports 4 tariff schedules. The meter provides the following accuracy classes: Active Energy: class 0.5S per IEC 62053-22, Active Energy: class C per EN 50470-3 and Active Energy: class 0.5S per IEC 61557-12. The meter will measure Active and Reactive Power, Active and Reactive Energy, Voltage and Current. With four quadrant Energy measurement. Designed for 50Hz or 60Hz networks, supply voltage can range from 100 to 277VAC or 173 to 480VAC. The rated current goes through a 1A or 5A transfomer to be measured in this meter and will support Single Phase and Neutral, Three Phase and Three Phase and Neutral configurations. Communication protocol is Modbus with screw terminal support. There is one programmable digital input and one programmable digital output that can be used as a pulsed output. Certifications include EAC, CE, UL and MID. Product dimensions are as follows: width 3.54 in (90 mm), depth 2.72in (69 mm), height 3.74 in (95 mm) and product weight 9.17 oz (260 g). Compatible with power management software to take advantage of the IoT digital power installation.",https://download.schneider-electric.com/files?p_File_Name=A9MEM3255_DATASHEET_GB_en-GB.pdf&p_Reference=A9MEM3255_DATASHEET,https://www.se.com/uk/en/product/A9MEM3255/,null,energy meter,ATG_MAIN
EDF,Energie,SE-EDF-003,2021-01-10,Poste Source de Lyon-Confluence,Lyon,SM6-24 DM1-D,SM6-LYN-2021-0394,Medium Voltage Switchgear,24kV,SM6-24 DM1-D,MV switchgear,SE-PRODUCT-TCSESM083F2CU0,https://download.schneider-electric.com/files?p_Doc_Ref= PF101124&p_File_Type=rendition_200_png,Ethernet TCP/IP managed switch - ConneXium - 6TX/2FX - multimode,"This product is part of the ConneXium range, an offer of Ethernet connecting devices. This TCP/IP managed switch has two 100BASE-FX ports for fibre optic and six 10BASE-T/100BASE-TX ports for copper cable. It is a network switch with a supply voltage of 24V, a power consumption of 7.7W and maximum number of switches in a ring is 50. This product offers you a smart and flexible way to integrate Ethernet solutions into your operation. It is furnished with 6-way removable connector (power supply) for electrical connection. The supported transmission mediums are twisted shielded pair category 5E copper cable and multimode fibre optic. Ethernet services are secure port, Rapid Scanning Tree Protocol (RSTP), priority port, multicast filtering, data stream control, configuration via web server, VLAN, SNTP client, SMTP V3, IGMP snooping and FDR. It is an IP20 rated product. Its dimensions are 74mm (width) x 111mm (depth) x 131mm (height) and weighs 0.41kg. This product is certified by CE, GL and C-Tick. It meets UL 508, CSA C22.2 No 214, CSA C22.2 No 213 Class I Division 2, UL 1604 Class 1 Division 2 and EN/IEC 61131-2 standards. It supports 35mm symmetrical DIN rail mount.",https://download.schneider-electric.com/files?p_File_Name=TCSESM083F2CU0_DATASHEET_GB_en-GB.pdf&p_Reference=TCSESM083F2CU0_DATASHEET,https://www.se.com/uk/en/product/TCSESM083F2CU0/,2024-09-24T00:00:00Z,unlimited,ATG_MAIN
EDF,Energie,SE-EDF-004,2022-05-18,Centrale Hydraulique de Tignes,Tignes,Sepam S80,SEP80-TIG-2022-2156,Protection Relay,15kV,Sepam S80,Protection relay,SE-PRODUCT-TCSESM083F2CU0,https://download.schneider-electric.com/files?p_Doc_Ref= PF101124&p_File_Type=rendition_200_png,Ethernet TCP/IP managed switch - ConneXium - 6TX/2FX - multimode,"This product is part of the ConneXium range, an offer of Ethernet connecting devices. This TCP/IP managed switch has two 100BASE-FX ports for fibre optic and six 10BASE-T/100BASE-TX ports for copper cable. It is a network switch with a supply voltage of 24V, a power consumption of 7.7W and maximum number of switches in a ring is 50. This product offers you a smart and flexible way to integrate Ethernet solutions into your operation. It is furnished with 6-way removable connector (power supply) for electrical connection. The supported transmission mediums are twisted shielded pair category 5E copper cable and multimode fibre optic. Ethernet services are secure port, Rapid Scanning Tree Protocol (RSTP), priority port, multicast filtering, data stream control, configuration via web server, VLAN, SNTP client, SMTP V3, IGMP snooping and FDR. It is an IP20 rated product. Its dimensions are 74mm (width) x 111mm (depth) x 131mm (height) and weighs 0.41kg. This product is certified by CE, GL and C-Tick. It meets UL 508, CSA C22.2 No 214, CSA C22.2 No 213 Class I Division 2, UL 1604 Class 1 Division 2 and EN/IEC 61131-2 standards. It supports 35mm symmetrical DIN rail mount.",https://download.schneider-electric.com/files?p_File_Name=TCSESM083F2CU0_DATASHEET_GB_en-GB.pdf&p_Reference=TCSESM083F2CU0_DATASHEET,https://www.se.com/uk/en/product/TCSESM083F2CU0/,2024-09-24T00:00:00Z,unlimited,ATG_MAIN
EDF,Energie,SE-EDF-005,2019-11-08,Centrale Nucléaire de Cattenom,Cattenom,Premset 2500kVA,PRM-CAT-2019-0672,Distribution Transformer,20kV/400V,Premset 2500kVA,MV/LV substation,SE-PRODUCT-TCSESM083F2CU0,https://download.schneider-electric.com/files?p_Doc_Ref= PF101124&p_File_Type=rendition_200_png,Ethernet TCP/IP managed switch - ConneXium - 6TX/2FX - multimode,"This product is part of the ConneXium range, an offer of Ethernet connecting devices. This TCP/IP managed switch has two 100BASE-FX ports for fibre optic and six 10BASE-T/100BASE-TX ports for copper cable. It is a network switch with a supply voltage of 24V, a power consumption of 7.7W and maximum number of switches in a ring is 50. This product offers you a smart and flexible way to integrate Ethernet solutions into your operation. It is furnished with 6-way removable connector (power supply) for electrical connection. The supported transmission mediums are twisted shielded pair category 5E copper cable and multimode fibre optic. Ethernet services are secure port, Rapid Scanning Tree Protocol (RSTP), priority port, multicast filtering, data stream control, configuration via web server, VLAN, SNTP client, SMTP V3, IGMP snooping and FDR. It is an IP20 rated product. Its dimensions are 74mm (width) x 111mm (depth) x 131mm (height) and weighs 0.41kg. This product is certified by CE, GL and C-Tick. It meets UL 508, CSA C22.2 No 214, CSA C22.2 No 213 Class I Division 2, UL 1604 Class 1 Division 2 and EN/IEC 61131-2 standards. It supports 35mm symmetrical DIN rail mount.",https://download.schneider-electric.com/files?p_File_Name=TCSESM083F2CU0_DATASHEET_GB_en-GB.pdf&p_Reference=TCSESM083F2CU0_DATASHEET,https://www.se.com/uk/en/product/TCSESM083F2CU0/,2024-09-24T00:00:00Z,unlimited,ATG_MAIN
EDF,Energie,SE-EDF-006,2023-02-14,Centrale Nucléaire de Paluel,Paluel,Masterpact MTZ3 25H1,MTZ3-PAL-2023-1089,Circuit Breaker,36kV,Masterpact MTZ3 25H1,MTZ3 variant,SE-PRODUCT-TCSESM083F2CU0,https://download.schneider-electric.com/files?p_Doc_Ref= PF101124&p_File_Type=rendition_200_png,Ethernet TCP/IP managed switch - ConneXium - 6TX/2FX - multimode,"This product is part of the ConneXium range, an offer of Ethernet connecting devices. This TCP/IP managed switch has two 100BASE-FX ports for fibre optic and six 10BASE-T/100BASE-TX ports for copper cable. It is a network switch with a supply voltage of 24V, a power consumption of 7.7W and maximum number of switches in a ring is 50. This product offers you a smart and flexible way to integrate Ethernet solutions into your operation. It is furnished with 6-way removable connector (power supply) for electrical connection. The supported transmission mediums are twisted shielded pair category 5E copper cable and multimode fibre optic. Ethernet services are secure port, Rapid Scanning Tree Protocol (RSTP), priority port, multicast filtering, data stream control, configuration via web server, VLAN, SNTP client, SMTP V3, IGMP snooping and FDR. It is an IP20 rated product. Its dimensions are 74mm (width) x 111mm (depth) x 131mm (height) and weighs 0.41kg. This product is certified by CE, GL and C-Tick. It meets UL 508, CSA C22.2 No 214, CSA C22.2 No 213 Class I Division 2, UL 1604 Class 1 Division 2 and EN/IEC 61131-2 standards. It supports 35mm symmetrical DIN rail mount.",https://download.schneider-electric.com/files?p_File_Name=TCSESM083F2CU0_DATASHEET_GB_en-GB.pdf&p_Reference=TCSESM083F2CU0_DATASHEET,https://www.se.com/uk/en/product/TCSESM083F2CU0/,2024-09-24T00:00:00Z,unlimited,ATG_MAIN
EDF,Energie,SE-EDF-007,2020-09-25,Poste Source de Marseille-Capelette,Marseille,SM6-36 IM,SM6-MRS-2020-1847,Medium Voltage Switchgear,36kV,SM6-36 IM,MV switchgear,SE-PRODUCT-TCSESM083F2CU0,https://download.schneider-electric.com/files?p_Doc_Ref= PF101124&p_File_Type=rendition_200_png,Ethernet TCP/IP managed switch - ConneXium - 6TX/2FX - multimode,"This product is part of the ConneXium range, an offer of Ethernet connecting devices. This TCP/IP managed switch has two 100BASE-FX ports for fibre optic and six 10BASE-T/100BASE-TX ports for copper cable. It is a network switch with a supply voltage of 24V, a power consumption of 7.7W and maximum number of switches in a ring is 50. This product offers you a smart and flexible way to integrate Ethernet solutions into your operation. It is furnished with 6-way removable connector (power supply) for electrical connection. The supported transmission mediums are twisted shielded pair category 5E copper cable and multimode fibre optic. Ethernet services are secure port, Rapid Scanning Tree Protocol (RSTP), priority port, multicast filtering, data stream control, configuration via web server, VLAN, SNTP client, SMTP V3, IGMP snooping and FDR. It is an IP20 rated product. Its dimensions are 74mm (width) x 111mm (depth) x 131mm (height) and weighs 0.41kg. This product is certified by CE, GL and C-Tick. It meets UL 508, CSA C22.2 No 214, CSA C22.2 No 213 Class I Division 2, UL 1604 Class 1 Division 2 and EN/IEC 61131-2 standards. It supports 35mm symmetrical DIN rail mount.",https://download.schneider-electric.com/files?p_File_Name=TCSESM083F2CU0_DATASHEET_GB_en-GB.pdf&p_Reference=TCSESM083F2CU0_DATASHEET,https://www.se.com/uk/en/product/TCSESM083F2CU0/,2024-09-24T00:00:00Z,unlimited,ATG_MAIN
EDF,Energie,SE-EDF-008,2021-06-30,Centrale Thermique du Havre,Le Havre,PowerLogic ION9000,ION9K-HAV-2021-0934,Power Meter,690V,PowerLogic ION9000,Meter series,SE-PRODUCT-A9MEM3255,https://download.schneider-electric.com/files?p_Doc_Ref= A9MEM3255_IOP_Def&p_File_Type=rendition_200_png,iEM3255 energy meter - CT - Modbus - 1 digital I - 1 digital O - multi-tariff - MID,"The Acti9 iEM3000 series energy meters offer an attractive range of three-phase DIN rail-mounted energy meters with an LCD display. Additional local signaling includes green LED power-on indicator, flashing yellow LED for accuracy checking, an overload alarm and communication indicators. This meter can be used in sub-billing applications and supports 4 tariff schedules. The meter provides the following accuracy classes: Active Energy: class 0.5S per IEC 62053-22, Active Energy: class C per EN 50470-3 and Active Energy: class 0.5S per IEC 61557-12. The meter will measure Active and Reactive Power, Active and Reactive Energy, Voltage and Current. With four quadrant Energy measurement. Designed for 50Hz or 60Hz networks, supply voltage can range from 100 to 277VAC or 173 to 480VAC. The rated current goes through a 1A or 5A transfomer to be measured in this meter and will support Single Phase and Neutral, Three Phase and Three Phase and Neutral configurations. Communication protocol is Modbus with screw terminal support. There is one programmable digital input and one programmable digital output that can be used as a pulsed output. Certifications include EAC, CE, UL and MID. Product dimensions are as follows: width 3.54 in (90 mm), depth 2.72in (69 mm), height 3.74 in (95 mm) and product weight 9.17 oz (260 g). Compatible with power management software to take advantage of the IoT digital power installation.",https://download.schneider-electric.com/files?p_File_Name=A9MEM3255_DATASHEET_GB_en-GB.pdf&p_Reference=A9MEM3255_DATASHEET,https://www.se.com/uk/en/product/A9MEM3255/,null,energy meter,ATG_MAIN
EDF,Energie,SE-EDF-009,2022-12-05,Centrale Hydraulique de Génissiat,Génissiat,Sepam S82,SEP82-GEN-2022-2567,Protection Relay,20kV,Sepam S82,Protection relay,SE-PRODUCT-TCSESM083F2CU0,https://download.schneider-electric.com/files?p_Doc_Ref= PF101124&p_File_Type=rendition_200_png,Ethernet TCP/IP managed switch - ConneXium - 6TX/2FX - multimode,"This product is part of the ConneXium range, an offer of Ethernet connecting devices. This TCP/IP managed switch has two 100BASE-FX ports for fibre optic and six 10BASE-T/100BASE-TX ports for copper cable. It is a network switch with a supply voltage of 24V, a power consumption of 7.7W and maximum number of switches in a ring is 50. This product offers you a smart and flexible way to integrate Ethernet solutions into your operation. It is furnished with 6-way removable connector (power supply) for electrical connection. The supported transmission mediums are twisted shielded pair category 5E copper cable and multimode fibre optic. Ethernet services are secure port, Rapid Scanning Tree Protocol (RSTP), priority port, multicast filtering, data stream control, configuration via web server, VLAN, SNTP client, SMTP V3, IGMP snooping and FDR. It is an IP20 rated product. Its dimensions are 74mm (width) x 111mm (depth) x 131mm (height) and weighs 0.41kg. This product is certified by CE, GL and C-Tick. It meets UL 508, CSA C22.2 No 214, CSA C22.2 No 213 Class I Division 2, UL 1604 Class 1 Division 2 and EN/IEC 61131-2 standards. It supports 35mm symmetrical DIN rail mount.",https://download.schneider-electric.com/files?p_File_Name=TCSESM083F2CU0_DATASHEET_GB_en-GB.pdf&p_Reference=TCSESM083F2CU0_DATASHEET,https://www.se.com/uk/en/product/TCSESM083F2CU0/,2024-09-24T00:00:00Z,unlimited,ATG_MAIN
EDF,Energie,SE-EDF-010,2024-04-12,Poste Source de Toulouse-Portet,Toulouse,Premset 1600kVA,PRM-TLS-2024-0213,Distribution Transformer,20kV/400V,Premset 1600kVA,MV/LV substation,SE-PRODUCT-TCSESM083F2CU0,https://download.schneider-electric.com/files?p_Doc_Ref= PF101124&p_File_Type=rendition_200_png,Ethernet TCP/IP managed switch - ConneXium - 6TX/2FX - multimode,"This product is part of the ConneXium range, an offer of Ethernet connecting devices. This TCP/IP managed switch has two 100BASE-FX ports for fibre optic and six 10BASE-T/100BASE-TX ports for copper cable. It is a network switch with a supply voltage of 24V, a power consumption of 7.7W and maximum number of switches in a ring is 50. This product offers you a smart and flexible way to integrate Ethernet solutions into your operation. It is furnished with 6-way removable connector (power supply) for electrical connection. The supported transmission mediums are twisted shielded pair category 5E copper cable and multimode fibre optic. Ethernet services are secure port, Rapid Scanning Tree Protocol (RSTP), priority port, multicast filtering, data stream control, configuration via web server, VLAN, SNTP client, SMTP V3, IGMP snooping and FDR. It is an IP20 rated product. Its dimensions are 74mm (width) x 111mm (depth) x 131mm (height) and weighs 0.41kg. This product is certified by CE, GL and C-Tick. It meets UL 508, CSA C22.2 No 214, CSA C22.2 No 213 Class I Division 2, UL 1604 Class 1 Division 2 and EN/IEC 61131-2 standards. It supports 35mm symmetrical DIN rail mount.",https://download.schneider-electric.com/files?p_File_Name=TCSESM083F2CU0_DATASHEET_GB_en-GB.pdf&p_Reference=TCSESM083F2CU0_DATASHEET,https://www.se.com/uk/en/product/TCSESM083F2CU0/,2024-09-24T00:00:00Z,unlimited,ATG_MAIN
