ENTREPRISE,CATEGORIE,equipment_id,product_ref,model,type,timestamp,status,alarm_code,message
EDF,Energie,SE-EDF-001,SE-PRODUCT-TCSESM083F2CU0,Masterpact MTZ2 16H1,Circuit Breaker,2026-01-03T08:15:22Z,normal,NORMAL,"Masterpact MTZ2 electronic trip unit self-test completed successfully, Micrologic 7.0 firmware v2.4.1 operational"
EDF,Energie,SE-EDF-001,SE-PRODUCT-TCSESM083F2CU0,Masterpact MTZ2 16H1,Circuit Breaker,2026-01-09T14:32:45Z,normal,NORMAL,"Circuit breaker load current 1247A on phase L1, thermal memory at 62%, trip threshold nominal at 1600A"
EDF,Energie,SE-EDF-001,SE-PRODUCT-TCSESM083F2CU0,Masterpact MTZ2 16H1,Circuit Breaker,2026-01-15T11:20:18Z,warning,CONTACT_WEAR_HIGH,"Masterpact MTZ2 contact wear indicator at 78%, maintenance recommended within 2000 operations, current operation count: 8234"
EDF,Energie,SE-EDF-001,SE-PRODUCT-TCSESM083F2CU0,Masterpact MTZ2 16H1,Circuit Breaker,2026-01-22T16:47:33Z,normal,NORMAL,"PowerLogic monitoring active, THD measured at 3.8% on L2, power factor 0.94 lagging, energy metering accurate"
EDF,Energie,SE-EDF-001,SE-PRODUCT-TCSESM083F2CU0,Masterpact MTZ2 16H1,Circuit Breaker,2026-01-28T09:55:07Z,warning,GROUND_FAULT_PREALARM,"Micrologic trip unit detected ground fault pre-alarm 180mA, threshold set at 250mA, investigate downstream insulation"
EDF,Energie,SE-EDF-002,SE-PRODUCT-A9MEM3255,PowerLogic ION9000,Power Meter,2026-01-05T08:15:23Z,normal,NORMAL,"PowerLogic ION9000 revenue metering accuracy verified at 0.1% class, all phase measurements within tolerance"
EDF,Energie,SE-EDF-002,SE-PRODUCT-A9MEM3255,PowerLogic ION9000,Power Meter,2026-01-10T14:42:17Z,warning,THD_HIGH,"PowerLogic harmonics detected THD 6.8% on phase A, approaching IEEE 519 limit threshold"
EDF,Energie,SE-EDF-002,SE-PRODUCT-A9MEM3255,PowerLogic ION9000,Power Meter,2026-01-15T19:28:44Z,normal,NORMAL,"ION9000 power quality analysis complete, voltage sag events logged: 2, power factor stable at 0.96"
EDF,Energie,SE-EDF-002,SE-PRODUCT-A9MEM3255,PowerLogic ION9000,Power Meter,2026-01-22T11:03:56Z,error,CT_IMBALANCE,"ION9000 CT secondary current imbalance detected 18% deviation between phases, verify CT connections"
EDF,Energie,SE-EDF-002,SE-PRODUCT-A9MEM3255,PowerLogic ION9000,Power Meter,2026-01-28T16:51:09Z,normal,NORMAL,"PowerLogic ION9000 demand interval reset successful, peak demand recorded 1847 kW, energy accumulation synchronized"
EDF,Energie,SE-EDF-003,SE-PRODUCT-TCSESM083F2CU0,SM6-24 DM1-D,Medium Voltage Switchgear,2026-01-05T08:15:22Z,normal,NORMAL,"SF6 gas pressure 1.45 bar at 20°C, circuit breaker operations count: 1247, DM1-D disconnector position confirmed closed"
EDF,Energie,SE-EDF-003,SE-PRODUCT-TCSESM083F2CU0,SM6-24 DM1-D,Medium Voltage Switchgear,2026-01-12T14:32:18Z,normal,NORMAL,"Load current 285A on phases L1/L2/L3, busbar temperature 42°C, vacuum interrupter contact resistance 85 microohms"
EDF,Energie,SE-EDF-003,SE-PRODUCT-TCSESM083F2CU0,SM6-24 DM1-D,Medium Voltage Switchgear,2026-01-18T10:47:55Z,warning,SF6_PRESS_LOW,"SF6 gas pressure 1.38 bar detected, approaching low threshold for 24kV operation, DM1-D earthing switch auxiliary contact delay 120ms"
EDF,Energie,SE-EDF-003,SE-PRODUCT-TCSESM083F2CU0,SM6-24 DM1-D,Medium Voltage Switchgear,2026-01-23T16:21:09Z,normal,NORMAL,"Preventive maintenance cycle completed, motor charging spring mechanism tested 15 operations, insulation resistance 12500 MOhm at 2.5kV DC"
EDF,Energie,SE-EDF-003,SE-PRODUCT-TCSESM083F2CU0,SM6-24 DM1-D,Medium Voltage Switchgear,2026-01-28T09:05:43Z,normal,NORMAL,"Load current balanced 312A, cable compartment temperature 38°C, DM1-D disconnector contact wear within tolerance at 0.3mm"
EDF,Energie,SE-EDF-004,SE-PRODUCT-TCSESM083F2CU0,Sepam S80,Protection Relay,2026-01-08T09:15:23Z,normal,NORMAL,"Sepam S80 directional overcurrent protection active, phase sequence ABC verified, no ground fault detected"
EDF,Energie,SE-EDF-004,SE-PRODUCT-TCSESM083F2CU0,Sepam S80,Protection Relay,2026-01-14T14:42:17Z,normal,NORMAL,"Sepam differential protection 87T operational, restraint characteristic curve within limits, CT ratio 2000/1A confirmed"
