equipment_id,ENTREPRISE,CATEGORIE,model,type,product_ref,case_history
SE-RTE-001,RTE,Energie,Masterpact MTZ2 16H1,Circuit Breaker,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-87234"",""case_status"":""Closed"",""customer_name"":""Riverside Manufacturing Plant"",""days_to_resolve"":2,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2023-09-14"",""issue_description"":""Micrologic 7.0 trip unit displaying intermittent communication errors with SCADA system. Error code E-COM-07 appearing on display."",""parts_used"":""[]"",""preventive_action"":""Schedule firmware audits every 6 months for all Micrologic units"",""resolution_date"":""2023-09-16"",""resolution_details"":""Updated Micrologic 7.0 firmware from v2.11 to v2.14. Reconfigured Modbus communication parameters. Verified stable communication over 48-hour monitoring period."",""resolution_type"":""Firmware Update"",""severity"":""Medium"",""technician_notes"":""Customer was running outdated firmware v2.11 which had known communication stability issues. Firmware v2.14 resolves these issues. Recommended customer implement quarterly firmware checks.""},{""case_id"":""CS-91456"",""case_status"":""Closed"",""customer_name"":""Metro Transit Authority"",""days_to_resolve"":2,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2023-11-22"",""issue_description"":""Electronic trip unit self-test failure. Display showing 'SELF-TEST FAIL - SENSOR ERROR'. Breaker operational but monitoring functions compromised."",""parts_used"":""[\""Micrologic 7.0 Trip Unit Assembly\"",\""Current Sensor Module - Phase B\""]"",""preventive_action"":""Install surge protection devices upstream; inspect all trip units after surge events"",""resolution_date"":""2023-11-24"",""resolution_details"":""Diagnosed faulty current sensor module in phase B. Replaced Micrologic 7.0 trip unit assembly. Performed full calibration and self-test verification. All parameters within specification."",""resolution_type"":""Component Replacement"",""severity"":""High"",""technician_notes"":""Sensor failure likely due to electrical surge event reported 3 days prior. Trip unit maintained protective functions but lost metering accuracy. Replacement unit loaded with firmware v2.14.""}]"
SE-RTE-001,RTE,Energie,Masterpact MTZ2 16H1,Circuit Breaker,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-87234"",""case_status"":""Closed"",""customer_name"":""Riverside Manufacturing Plant"",""days_to_resolve"":2,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2023-09-14"",""issue_description"":""Circuit breaker thermal capacity exceeded 95%, frequent nuisance tripping under normal load conditions. Customer reported three unplanned shutdowns in 48 hours affecting production line."",""parts_used"":""Trip Unit Assembly MTZ2-TU16, Thermal Sensor Kit"",""preventive_action"":""Scheduled quarterly thermal imaging and load monitoring. Recommended upgrading to MTZ3 20H1 model if load growth continues."",""resolution_date"":""2023-09-16"",""resolution_details"":""Thermal magnetic trip unit recalibrated and found faulty. Replaced trip unit assembly. Verified load balance across all three phases. Conducted full operational testing at 80% rated capacity."",""resolution_type"":""Component Replacement"",""severity"":""High"",""technician_notes"":""Load imbalance of 8% between phases contributed to thermal stress. Recommended customer review load distribution. All phases now within 2% variance. Breaker operating normally at 1580A.""},{""case_id"":""CS-91456"",""case_status"":""Closed"",""customer_name"":""Metro Data Center Facility"",""days_to_resolve"":1,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2024-01-22"",""issue_description"":""Abnormal heating detected on L2 phase busbar connection. Thermal scan showed 45°C temperature differential compared to L1 and L3. No tripping but customer concerned about fire risk."",""parts_used"":""Contact Cleaner, Anti-oxidant Compound, Torque Washers"",""preventive_action"":""Added to annual preventive maintenance schedule for connection torque verification. Customer advised to perform quarterly thermal imaging."",""resolution_date"":""2024-01-23"",""resolution_details"":""Inspection revealed loose busbar connection torque at 60% of specification. Re-torqued all phase connections to manufacturer spec (150 Nm). Cleaned contact surfaces and applied anti-oxidant compound."",""resolution_type"":""Maintenance Service"",""severity"":""Medium"",""technician_notes"":""Connection loosening likely due to thermal cycling over 3 years of operation. No damage to busbar or breaker contacts. Post-service thermal scan shows uniform temperature across all phases within 3°C.""}]"
SE-RTE-001,RTE,Energie,Masterpact MTZ2 16H1,Circuit Breaker,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-87234"",""case_status"":""Closed"",""customer_name"":""Metropolitan Water District"",""days_to_resolve"":7,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2024-01-15"",""issue_description"":""Contact wear indicator reached 85%, customer reported occasional arcing sounds during switching operations. 15,892 operations logged since last maintenance."",""parts_used"":""Contact Kit MTZ2-CK16, Arc Chute Cleaning Kit, Lubrication Kit LK-MTZ"",""preventive_action"":""Implemented quarterly thermal imaging inspections and set contact wear monitoring threshold at 75% for earlier intervention."",""resolution_date"":""2024-01-22"",""resolution_details"":""Performed complete contact replacement and mechanical inspection. Contacts showed significant erosion and pitting. Replaced main and arcing contacts, cleaned arc chutes, verified operating mechanism timing and travel distances."",""resolution_type"":""Scheduled Maintenance"",""severity"":""Medium"",""technician_notes"":""Contact wear was at 87% upon inspection. Customer was operating near rated capacity frequently which accelerated wear. Recommended load analysis and possible upgrade to higher capacity unit. Reset operation counter after maintenance.""},{""case_id"":""CS-91456"",""case_status"":""Closed"",""customer_name"":""Riverside Manufacturing Complex"",""days_to_resolve"":2,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2023-09-08"",""issue_description"":""High contact wear alarm triggered at 79%. Customer requested expedited service due to critical production line dependency. 13,445 operations recorded."",""parts_used"":""Contact Kit MTZ2-CK16, Alignment Shims AS-MTZ-02, Contact Grease CG-150"",""preventive_action"":""Installed vibration monitoring sensor and recommended anti-vibration mounting pads. Reduced maintenance interval to 18 months or 12,000 operations."",""resolution_date"":""2023-09-10"",""resolution_details"":""Emergency maintenance performed during planned production shutdown. Full contact assembly replacement completed. Discovered contacts had uneven wear pattern indicating possible misalignment. Adjusted mechanism alignment and performed full electrical testing."",""resolution_type"":""Emergency Maintenance"",""severity"":""High"",""technician_notes"":""Uneven contact wear suggested mechanical misalignment from installation or vibration. Verified mounting and checked for environmental factors. Customer facility has significant vibration from nearby equipment. Recommended vibration dampening measures.""},{""case_id"":""CS-78912"",""case_status"":""Closed"",""customer_name"":""Northpoint Data Center"",""days_to_resolve"":11,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2023-11-20"",""issue_description"":""Contact wear reached 81% with 16,234 operations. Customer also reported increased operating temperature readings on infrared scan. Requested assessment before winter peak load season."",""parts_used"":""Contact Kit MTZ2-CK16, Terminal Lugs TL-MTZ-600A, Insulation Tape IT-HV, Contact Cleaner Spray"",""preventive_action"":""Added breaker to quarterly thermographic inspection program. Recommended contact wear monitoring integration with facility SCADA system for real-time alerts."",""resolution_date"":""2023-12-01"",""resolution_details"":""Replaced contact assemblies and performed comprehensive breaker overhaul. Thermal imaging confirmed elevated temperatures due to contact resistance increase. Cleaned all bus connections, retorqued all terminations, replaced contacts, and performed insulation resistance testing."",""resolution_type"":""Preventive Maintenance"",""severity"":""Medium"",""technician_notes"":""Contact resistance had increased to 142 micro-ohms (spec: <100). Temperature rise was 15°C above ambient at rated current. All connections cleaned and retorqued to specification. Post-maintenance resistance measured at 68 micro-ohms. Customer educated on importance of thermal scanning correlation with contact wear.""}]"
SE-RTE-001,RTE,Energie,Masterpact MTZ2 16H1,Circuit Breaker,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-87234"",""case_status"":""Closed"",""customer_name"":""Riverside Manufacturing Plant"",""days_to_resolve"":2,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2023-09-14"",""issue_description"":""Ground fault protection triggering intermittently, residual current readings fluctuating between 18-45mA, nuisance tripping occurring during peak load periods"",""parts_used"":""Ground fault sensor module (LV434063), insulation repair kit"",""preventive_action"":""Implement quarterly ground fault monitoring and annual cable insulation testing"",""resolution_date"":""2023-09-16"",""resolution_details"":""Identified degraded insulation on feeder cable causing leakage current. Ground fault sensor recalibrated after cable repair. Micrologic settings adjusted to account for normal leakage in aging installation."",""resolution_type"":""Repair"",""severity"":""High"",""technician_notes"":""Customer had extended cable runs in humid environment contributing to insulation degradation. Recommended quarterly thermal imaging and annual insulation resistance testing. Residual current now stable at 8mA.""},{""case_id"":""CS-91456"",""case_status"":""Closed"",""customer_name"":""Metro Data Center East"",""days_to_resolve"":1,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2024-01-22"",""issue_description"":""Micrologic trip unit displaying ground fault alarm, residual current reading elevated at 28mA but below trip threshold, customer concerned about potential equipment damage"",""parts_used"":""None"",""preventive_action"":""Monthly residual current trending and documentation to establish baseline for facility"",""resolution_date"":""2024-01-23"",""resolution_details"":""Comprehensive ground fault analysis performed. Discovered multiple UPS units with Y-capacitor leakage contributing to elevated residual current. No breaker malfunction found. Ground fault trip threshold verified at 30mA setting per design."",""resolution_type"":""Inspection"",""severity"":""Medium"",""technician_notes"":""Breaker operating correctly. Elevated residual current due to cumulative leakage from downstream IT equipment, which is normal for data center environments. Customer educated on expected leakage currents. Recommended monitoring trend over time.""},{""case_id"":""CS-103782"",""case_status"":""Closed"",""customer_name"":""Coastal Industrial Complex"",""days_to_resolve"":1,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2024-03-08"",""issue_description"":""Ground fault protection system failure, residual current sensor not detecting test fault, Micrologic display showing sensor communication error"",""parts_used"":""Ground fault protection module (LV434063), Micrologic communication module (LV434020), conformal coating kit"",""preventive_action"":""Install environmental protection enclosure, implement bi-annual ground fault system functional testing"",""resolution_date"":""2024-03-09"",""resolution_details"":""Ground fault protection module failed due to corrosion from salt air exposure. Replaced entire ground fault detection assembly and Micrologic communication module. Tested with calibrated ground fault simulator at 15mA, 30mA, and 50mA levels."",""resolution_type"":""Replacement"",""severity"":""Critical"",""technician_notes"":""Coastal environment accelerated corrosion on sensor connections. Applied conformal coating to replacement parts. Strongly recommended enclosure upgrade with better sealing for marine environment. Breaker now fully functional with residual current monitoring at 6mA.""}]"
SE-RTE-001,RTE,Energie,Masterpact MTZ2 16H1,Circuit Breaker,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-87234"",""case_status"":""Closed"",""customer_name"":""Riverside Manufacturing Plant"",""days_to_resolve"":2,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2024-01-15"",""issue_description"":""Auxiliary contact temperature reached 72°C with thermal trip at 94%. Customer reported intermittent tripping during peak load hours."",""parts_used"":""Auxiliary contact block (P/N: MTZ2-AUX-16), Contact cleaner spray"",""preventive_action"":""Scheduled quarterly thermal imaging inspections and load balancing review"",""resolution_date"":""2024-01-17"",""resolution_details"":""Replaced degraded auxiliary contact block. Found carbon buildup on contact surfaces causing increased resistance. Cleaned main contact assembly and verified thermal calibration."",""resolution_type"":""On-site Repair"",""severity"":""High"",""technician_notes"":""Ambient temperature was 42°C. Recommended improving ventilation around breaker enclosure. Load profile showed sustained operation at 85% capacity contributing to heat buildup.""},{""case_id"":""CS-91456"",""case_status"":""Closed"",""customer_name"":""Metro Data Center - Building 3"",""days_to_resolve"":1,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2023-11-08"",""issue_description"":""Temperature alarm triggered at 65°C on auxiliary contacts. Thermal compensation active but customer concerned about potential failure during critical operations."",""parts_used"":""Contact treatment compound, Thermal paste"",""preventive_action"":""Added to enhanced monitoring program with monthly temperature checks"",""resolution_date"":""2023-11-09"",""resolution_details"":""Performed comprehensive inspection. Contacts within acceptable wear limits but showing early signs of oxidation. Applied contact treatment and adjusted trip unit sensitivity. Verified cooling airflow paths were unobstructed."",""resolution_type"":""Preventive Maintenance"",""severity"":""Medium"",""technician_notes"":""No immediate replacement needed. Temperature elevation likely due to high ambient (38°C) and continuous 80% load. All parameters returned to normal range after maintenance.""},{""case_id"":""CS-78912"",""case_status"":""Closed"",""customer_name"":""Industrial Steel Works - Facility 7"",""days_to_resolve"":2,""equipment_model"":""Masterpact MTZ2 16H1"",""issue_date"":""2023-08-22"",""issue_description"":""Repeated temperature warnings on auxiliary contacts reaching 70°C. Breaker tripped twice under load due to thermal protection activation."",""parts_used"":""Auxiliary contact assembly (P/N: MTZ2-AUX-16), Thermal trip unit (P/N: MTZ2-TM-16H), Connection hardware kit"",""preventive_action"":""Implemented annual connection torque verification and biannual contact inspection program"",""resolution_date"":""2023-08-24"",""resolution_details"":""Complete auxiliary contact assembly replacement required due to excessive wear and pitting. Also replaced thermal trip unit as calibration had drifted. Discovered inadequate torque on main bus connections contributing to heat generation."",""resolution_type"":""Component Replacement"",""severity"":""Critical"",""technician_notes"":""Equipment had been in service for 7 years without major maintenance. Bus bar connections re-torqued to specification. Post-repair thermal scan showed 15°C temperature reduction under equivalent load.""}]"
SE-RTE-002,RTE,Energie,SM6-36 DM1-D,Medium Voltage Switchgear,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-2023-08847"",""case_status"":""Closed"",""customer_name"":""Metro Transit Authority"",""days_to_resolve"":2,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2023-06-15"",""issue_description"":""SF6 gas pressure dropped to 1.15 bar, below minimum threshold of 1.2 bar. Low pressure alarm triggered on switchgear panel."",""parts_used"":""O-ring gasket kit (P/N: 24KV-SEAL-036), SF6 gas cylinder 10kg"",""preventive_action"":""Schedule annual SF6 gas pressure inspection and seal condition assessment"",""resolution_date"":""2023-06-17"",""resolution_details"":""Identified micro-leak in SF6 gas compartment seal. Replaced degraded O-ring gasket and recharged SF6 gas to 1.45 bar at 20°C. Performed leak test with SF6 detector - no leaks detected."",""resolution_type"":""Repair"",""severity"":""High"",""technician_notes"":""Gasket showed signs of aging and compression set. Recommended annual SF6 pressure monitoring for similar vintage equipment. Customer advised to maintain ambient temperature control in switchgear room.""},{""case_id"":""CS-2023-11234"",""case_status"":""Closed"",""customer_name"":""Industrial Park Services Ltd"",""days_to_resolve"":1,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2023-09-22"",""issue_description"":""Circuit breaker failed to close on command. Operations count at 1580. Control circuit malfunction suspected."",""parts_used"":""Closing coil assembly (P/N: DM1D-CC-24V), Auxiliary contact block (P/N: AUX-CB-04)"",""preventive_action"":""Implement operation counter-based maintenance at 1500 operation intervals. Schedule comprehensive breaker mechanism overhaul."",""resolution_date"":""2023-09-23"",""resolution_details"":""Diagnosed worn closing coil contacts and degraded auxiliary switch. Circuit breaker mechanism showed signs of wear due to high operation count. Replaced closing coil assembly and auxiliary contact block. Performed 10 mechanical operation tests successfully."",""resolution_type"":""Repair"",""severity"":""Critical"",""technician_notes"":""Equipment approaching recommended maintenance interval at 1500 operations. Mechanism lubrication was insufficient. Applied recommended lubricant to all moving parts. Customer operating breaker more frequently than typical duty cycle.""},{""case_id"":""CS-2024-02156"",""case_status"":""Closed"",""customer_name"":""Coastal Manufacturing Inc"",""days_to_resolve"":1,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2024-01-18"",""issue_description"":""DM1-D disconnector position indicator showing inconsistent status. Visual inspection shows closed position but control panel indicates open."",""parts_used"":""None - adjustment only"",""preventive_action"":""Install vibration dampening measures and verify position indicator alignment during annual maintenance"",""resolution_date"":""2024-01-19"",""resolution_details"":""Position indicator microswitch misaligned due to mechanical vibration. Adjusted microswitch mounting bracket and verified proper actuation through full disconnector travel. Tested position indication 20 cycles - all successful."",""resolution_type"":""Repair"",""severity"":""Medium"",""technician_notes"":""Switchgear located near heavy machinery causing continuous vibration. Recommended vibration dampening pads for switchgear foundation. Applied thread-locking compound to microswitch mounting hardware.""}]"
SE-RTE-002,RTE,Energie,SM6-36 DM1-D,Medium Voltage Switchgear,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-2023-08847"",""case_status"":""Closed"",""customer_name"":""Metropolitan Water District"",""days_to_resolve"":1,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2023-09-14"",""issue_description"":""Busbar temperature alarm triggered at 68°C during peak load operation. Customer reported unusual heating in compartment."",""parts_used"":""Contact compound, cleaning materials"",""preventive_action"":""Added to quarterly thermographic inspection schedule. Customer advised to monitor busbar temperatures during peak loads."",""resolution_date"":""2023-09-15"",""resolution_details"":""Inspection revealed loose busbar connection causing increased resistance and heat generation. Tightened all busbar connections to specified torque values. Cleaned contact surfaces and applied contact compound."",""resolution_type"":""Repair"",""severity"":""High"",""technician_notes"":""Torque values were 30% below specification on L2 phase. Likely due to thermal cycling over time. Recommended annual thermographic inspection. All phases now within normal temperature range under load test.""},{""case_id"":""CS-2024-01293"",""case_status"":""Closed"",""customer_name"":""Riverside Manufacturing Complex"",""days_to_resolve"":3,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2024-01-22"",""issue_description"":""Vacuum interrupter integrity test failure during routine maintenance. Loss of vacuum detected in phase L3 circuit breaker."",""parts_used"":""Vacuum interrupter bottle (P/N: VI-36-250), contact assembly hardware kit"",""preventive_action"":""Scheduled proactive replacement of L1 and L2 vacuum interrupters at next maintenance window. Implemented operation counter monitoring."",""resolution_date"":""2024-01-25"",""resolution_details"":""Replaced failed vacuum interrupter bottle on L3 phase. Conducted high-voltage withstand test and contact resistance measurements. All parameters within specification after replacement."",""resolution_type"":""Parts Replacement"",""severity"":""Critical"",""technician_notes"":""Interrupter had 87,000 operations logged, approaching rated life of 100,000. Micro-leak in ceramic seal detected. Recommended monitoring operation count on remaining phases. Customer has heavy switching duty cycle.""}]"
SE-RTE-002,RTE,Energie,SM6-36 DM1-D,Medium Voltage Switchgear,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-2024-087432"",""case_status"":""closed"",""customer_name"":""Metro Transit Authority"",""days_to_resolve"":2,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2024-01-15"",""issue_description"":""SF6 gas pressure dropped to 1.15 bar at 16°C, triggering low pressure alarm. Equipment locked out to prevent unsafe operation."",""parts_used"":""O-ring gasket kit (P/N: 24-356-89), SF6 gas refill 2.5kg"",""preventive_action"":""Schedule annual SF6 pressure checks and gasket inspection every 5 years"",""resolution_date"":""2024-01-17"",""resolution_details"":""Identified micro-leak in SF6 gas compartment seal. Replaced degraded O-ring gasket on gas compartment cover. Evacuated remaining SF6, performed vacuum test, and refilled to 1.45 bar at 20°C per specifications."",""resolution_type"":""repair"",""severity"":""high"",""technician_notes"":""Gasket showed signs of aging and compression set. Recommended annual SF6 pressure monitoring for all units over 8 years old. Leak rate was approximately 0.02 bar/month.""},{""case_id"":""CS-2023-104567"",""case_status"":""closed"",""customer_name"":""Riverside Manufacturing Plant"",""days_to_resolve"":1,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2023-09-22"",""issue_description"":""Earthing switch contact resistance measured at 178 µΩ during routine maintenance, exceeding 150 µΩ threshold. Potential overheating risk identified."",""parts_used"":""Contact cleaning compound, silver-based contact lubricant (P/N: 18-442-12)"",""preventive_action"":""Reduce contact resistance inspection interval to 18 months in high-humidity environments"",""resolution_date"":""2023-09-23"",""resolution_details"":""Performed contact cleaning and resurfacing of earthing switch contacts. Removed oxidation and carbon deposits. Applied contact lubricant. Post-service resistance measured at 42 µΩ, well within acceptable range."",""resolution_type"":""maintenance"",""severity"":""medium"",""technician_notes"":""Contacts showed moderate pitting and discoloration consistent with normal arcing wear. Customer operates in high-humidity coastal environment which accelerates oxidation. No structural damage to contact surfaces.""},{""case_id"":""CS-2023-076234"",""case_status"":""closed"",""customer_name"":""Northgate Distribution Center"",""days_to_resolve"":2,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2023-06-08"",""issue_description"":""Combined issues: SF6 pressure at 1.22 bar (low warning) and earthing switch contact resistance at 162 µΩ. Equipment remained operational but flagged for urgent service."",""parts_used"":""Pressure relief valve assembly (P/N: 24-389-45), SF6 gas refill 1.8kg, contact maintenance kit"",""preventive_action"":""Recommend comprehensive switchgear overhaul at 12-year service interval including all seals and contact systems"",""resolution_date"":""2023-06-10"",""resolution_details"":""Addressed both issues during single service visit. Replaced leaking pressure relief valve and refilled SF6 to specification. Cleaned and serviced earthing switch mechanism. Performed full functional testing."",""resolution_type"":""repair"",""severity"":""medium"",""technician_notes"":""Pressure relief valve showed internal seal degradation. Contact resistance issue was maintenance-related, not component failure. Both issues common in units with 10+ years service life without major overhaul.""}]"
SE-RTE-002,RTE,Energie,SM6-36 DM1-D,Medium Voltage Switchgear,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-2847-MV"",""case_status"":""Closed"",""customer_name"":""Metro Transit Authority"",""days_to_resolve"":1,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2023-09-14"",""issue_description"":""SF6 gas pressure dropped to 1.15 bar, triggering low pressure alarm. Annual maintenance inspection detected slow leak in gas compartment seal."",""parts_used"":""O-ring seal kit (P/N: SM6-SEAL-036), SF6 gas cylinder 5kg"",""preventive_action"":""Added seal condition check to annual maintenance protocol for all SM6 units at this site"",""resolution_date"":""2023-09-15"",""resolution_details"":""Replaced degraded O-ring seal on SF6 gas compartment. Evacuated remaining gas, replaced seal, pressure tested, and refilled to 1.50 bar. Conducted leak test - no leaks detected after 24hr monitoring."",""resolution_type"":""Repair"",""severity"":""Medium"",""technician_notes"":""Seal showed signs of aging and compression set. Recommended customer to include seal inspection in annual PM schedule. All other compartments tested normal.""},{""case_id"":""CS-3192-MV"",""case_status"":""Closed"",""customer_name"":""Industrial Park Services Ltd"",""days_to_resolve"":3,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2023-11-22"",""issue_description"":""Partial discharge activity detected at 45pC during routine testing. Customer reported occasional crackling sounds from cable compartment during load switching."",""parts_used"":""36kV cable termination kit, cable entry seal, desiccant packs"",""preventive_action"":""Issued service bulletin to verify proper cable seal installation on all SM6-36 units commissioned in 2022-2023"",""resolution_date"":""2023-11-25"",""resolution_details"":""Detailed PD mapping identified discharge source at cable termination. Found moisture ingress in cable compartment due to damaged cable entry seal. Replaced cable termination, dried compartment, replaced seals. Post-repair PD test showed <3pC."",""resolution_type"":""Repair"",""severity"":""High"",""technician_notes"":""Cable entry seal was improperly installed during initial commissioning. Moisture had accumulated over 18 months causing insulation degradation. Insulation resistance was 850 MΩ before repair, restored to 15000 MΩ after.""}]"
SE-RTE-002,RTE,Energie,SM6-36 DM1-D,Medium Voltage Switchgear,SE-PRODUCT-TCSESM083F2CU0,"[{""case_id"":""CS-2847-MV"",""case_status"":""Closed"",""customer_name"":""Metro Transit Authority"",""days_to_resolve"":2,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2023-09-14"",""issue_description"":""Motorized operating mechanism spring failed to charge after multiple attempts. Auxiliary contacts showing intermittent continuity. Equipment unable to perform switching operations."",""parts_used"":""Spring charging motor assembly (P/N: SM6-MCM-036), Auxiliary contact block (P/N: SM6-ACB-12)"",""preventive_action"":""Schedule inspection of spring charging mechanism every 5000 cycles. Monitor charge time - should complete within 8-12 seconds."",""resolution_date"":""2023-09-16"",""resolution_details"":""Replaced motorized spring charging mechanism motor and auxiliary contact block. Performed full mechanical cycle test and verified proper operation through 50 cycles."",""resolution_type"":""Parts Replacement"",""severity"":""High"",""technician_notes"":""Motor showed signs of wear at 6800 cycles, below expected 10000 cycle rating. Recommended monitoring spring charge time on similar units. Contact block had carbon buildup causing intermittent operation.""},{""case_id"":""CS-3192-MV"",""case_status"":""Closed"",""customer_name"":""Industrial Park Services Ltd"",""days_to_resolve"":1,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2024-01-22"",""issue_description"":""DM1-D disconnector mechanical binding during operation. Increased operating force required. Cycle counter at 8200/10000."",""parts_used"":""Guide roller set (P/N: DM1D-GR-04), High-temperature lubricant (P/N: LUB-HT-500)"",""preventive_action"":""Reduce maintenance interval to 4000 cycles in high-dust environments. Install protective covers on mechanism housing."",""resolution_date"":""2024-01-23"",""resolution_details"":""Performed complete mechanical overhaul of disconnector mechanism. Cleaned and re-lubricated all pivot points and contact surfaces. Replaced worn guide rollers and adjusted mechanical stops."",""resolution_type"":""Preventive Maintenance"",""severity"":""Medium"",""technician_notes"":""Mechanism showed excessive wear due to dusty environment. Customer facility has high particulate levels. Binding was caused by contaminated lubricant and worn guide rollers. Recommended more frequent maintenance intervals.""},{""case_id"":""CS-3756-MV"",""case_status"":""Closed"",""customer_name"":""Coastal Manufacturing Inc"",""days_to_resolve"":1,""equipment_model"":""SM6-36 DM1-D"",""issue_date"":""2024-03-08"",""issue_description"":""Auxiliary contacts not providing proper feedback signal to control system. Spring charge indicator showing false positive. Actual spring status uncertain."",""parts_used"":""Marine-grade auxiliary contact block (P/N: SM6-ACB-12M), Contact sealing kit (P/N: SM6-SEAL-AUX)"",""preventive_action"":""Use marine-grade components in coastal environments. Apply protective coating to all exposed metal surfaces. Quarterly inspection of contact integrity."",""resolution_date"":""2024-03-09"",""resolution_details"":""Replaced complete auxiliary contact assembly. Contacts had corroded due to coastal environment exposure. Upgraded to marine-grade contact block with enhanced sealing."",""resolution_type"":""Parts Replacement"",""severity"":""High"",""technician_notes"":""Coastal location with high humidity and salt air caused accelerated corrosion of standard contact block. Equipment only at 2100 cycles but environmental factors critical. Recommended marine-grade components for all coastal installations.""}]"
